-60 45 129 170 214
-59 45 121 165 214
-58 45 121 163 213
-57 45 122 164 214
-56 45 121 165 214
-55 45 122 164 214
-54 45 122 164 214
-53 45 123 165 215
-52 45 123 165 215
-51 45 123 165 215
-50 45 124 164 215
-49 45 125 165 216
-48 45 124 166 216
-47 45 124 166 216
-46 45 124 166 216
-45 45 125 165 216
-44 45 126 166 217
-43 45 125 165 216
-42 45 126 166 217
-41 45 126 166 217
-40 45 126 166 217
-39 45 125 167 217
-38 45 125 167 217
-37 45 125 167 217
-36 45 125 167 217
-35 45 126 168 218
-34 45 126 168 218
-33 45 126 168 218
-32 45 127 169 219
-31 45 127 169 219
-30 45 127 169 219
-29 45 128 170 220
-28 45 127 168 220
-27 45 129 169 220
-26 45 129 169 220
-25 45 128 168 219
-24 45 129 169 220
-23 45 128 168 219
-22 45 129 169 220
-21 45 129 169 220
-20 45 129 170 222
-19 45 129 169 221
-18 45 129 169 221
-17 45 129 169 221
-16 45 129 169 221
-15 45 129 169 221
-14 45 129 169 221
-13 45 129 169 221
-12 45 129 169 221
-11 45 129 169 221
-10 45 130 170 222
-9 45 130 170 222
-8 45 130 170 222
-7 45 130 170 222
-6 45 130 170 222
-5 45 130 170 222
-4 45 130 170 222
-3 45 129 169 221
-2 45 130 170 222
-1 45 130 170 221
0 45 130 170 221
1 45 129 170 222
2 45 129 170 222
3 45 129 170 222
4 45 130 170 222
5 45 130 170 222
6 45 130 170 222
7 45 130 170 222
8 45 130 170 222
9 45 130 170 222
10 45 130 170 221
11 45 130 170 221
12 45 130 170 222
13 45 130 170 222
14 45 130 170 222
15 45 130 170 222
16 45 130 170 222
17 45 130 170 222
18 45 129 169 221
19 45 130 170 222
20 45 128 169 221
21 45 128 169 221
22 45 130 170 222
23 45 130 170 222
24 45 129 169 221
25 45 129 169 221
26 45 129 169 221
27 45 130 170 222
28 45 128 169 221
29 45 129 169 221
30 45 129 169 221
31 45 129 169 221
32 45 129 169 221
33 45 128 169 221
34 45 127 168 220
35 45 127 168 220
36 45 128 169 221
37 45 128 169 221
38 45 127 168 220
39 45 126 167 219
40 45 127 168 220
41 45 127 168 220
42 45 127 168 220
43 45 126 167 219
44 45 125 168 219
45 45 125 168 219
46 45 126 167 219
47 45 126 167 219
48 45 125 166 220
49 45 124 167 220
50 45 124 167 220
51 45 124 167 220
52 45 124 167 220
53 45 123 166 217
54 45 123 166 219
55 45 123 166 219
56 45 122 165 216
57 45 122 165 218
58 45 123 164 218
59 45 130 170 221
-60 44 121 161 210
-59 44 113 156 207
-58 44 114 157 210
-57 44 115 156 210
-56 44 114 157 210
-55 44 114 157 210
-54 44 116 157 209
-53 44 116 157 211
-52 44 115 158 211
-51 44 116 157 211
-50 44 117 158 212
-49 44 117 158 212
-48 44 117 160 213
-47 44 116 159 212
-46 44 118 159 213
-45 44 118 159 213
-44 44 118 159 213
-43 44 118 159 213
-42 44 118 159 213
-41 44 118 159 213
-40 44 118 159 213
-39 44 118 159 213
-38 44 119 160 214
-37 44 119 160 214
-36 44 119 160 214
-35 44 119 160 214
-34 44 120 161 215
-33 44 120 161 215
-32 44 120 161 215
-31 44 120 161 215
-30 44 120 161 215
-29 44 121 162 216
-28 44 120 161 217
-27 44 121 162 216
-26 44 121 162 216
-25 44 120 161 215
-24 44 122 163 217
-23 44 121 162 216
-22 44 121 162 216
-21 44 121 162 216
-20 44 122 163 217
-19 44 122 163 217
-18 44 122 163 217
-17 44 122 163 217
-16 44 122 163 217
-15 44 122 163 217
-14 44 122 163 219
-13 44 122 163 219
-12 44 122 163 217
-11 44 122 163 217
-10 44 123 164 218
-9 44 123 164 218
-8 44 123 164 218
-7 44 123 164 218
-6 44 122 163 217
-5 44 122 163 217
-4 44 123 164 220
-3 44 123 164 220
-2 44 123 164 218
-1 44 123 164 218
0 44 123 164 218
1 44 123 164 218
2 44 122 165 220
3 44 123 166 221
4 44 123 164 220
5 44 123 164 220
6 44 123 164 220
7 44 123 164 218
8 44 123 164 218
9 44 123 164 218
10 44 123 164 218
11 44 123 164 218
12 44 121 164 219
13 44 122 165 220
14 44 122 163 219
15 44 122 165 220
16 44 122 165 218
17 44 122 165 220
18 44 122 165 220
19 44 122 165 220
20 44 122 163 219
